NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
43700,ES'HAIL 2,2018-090A,,1436.1,,,Amateur radio,,,,,
43693,IRVINE01,2018-088D,,94.7,Unknown,437.8,Amateur radio,,,,,
43679,STARS-AO,2018-084I,,96.5,Unknown,437.35,Amateur radio,,,,,
43678,DIWATA 2BÊÊCÊ,2018-084H,,96.5,Unknown,145.9,Amateur radio,,,,,
43677,TEN-KOHÊÊCÊ,2018-084G,,96.6,Active,437.51,Amateur radio,,,,,
43666,CUBEBEL-1(BSUSAT-1)ÊÊCÊ,2018-083E,,94.9,Active,436.99,Amateur radio,,,,,
43640,STARS-ME,1998-067PQ,,92.6,Active,437.245,Amateur radio,,,,,
43640,STARS-ME,1998-067PQ,,92.6,Inactive,437.255,Amateur radio,,,,,
43639,RSP-00,1998-067PP,,92.6,Inactive,145.89,Amateur radio,,,,,
43617,ELFIN-A,2018-070E,,93.7,Active,,Amateur radio,,,,,
43616,ELFIN-B,2018-070D,,93.7,Active,,Amateur radio,,,,,
43615,CP-7 (DAVE),2018-070C,,93.7,Active,437.15,Amateur radio,,,,,
43614,SURFSAT,2018-070B,,93.7,Unknown,,Amateur radio,,,,,
43596,SIRIUSSAT-2 (SXC1-182),1998-067PH,,92.5,Active,,Amateur radio,,,,,
43595,SIRIUSSAT-1 (SXC1-181),1998-067PG,,92.5,Active,,Amateur radio,,,,,
43591,BIRD-BT (BHUTAN-1)ÊÊCÊ,1998-067PF,,92.5,Active,437.375,Amateur radio,,,,,
43590,BIRD-PH (MAYA-1)ÊÊCÊ,1998-067PE,,92.5,Active,437.375,Amateur radio,,,,,
43589,BIRD-MY (UiTMSAT-1)ÊÊCÊ,1998-067PD,,92.5,Active,437.375,Amateur radio,,,,,
43552,EQUISAT,1998-067PA,,92.5,Active,435.55,Amateur radio,,,,,
43551,ENDUROSAT ONE,1998-067NZ,,92.4,Inactive,437.05,Amateur radio,,,,,
43472,LONGJIANG 2,2018-045C,,14628,Active,436.4,Amateur radio,,,,,
43471,LONGJIANG 1,2018-045B,,14628,Inactive,436.425,Amateur radio,,,,,
43468,IRAZU,1998-067NR,,92.3,Active,,Amateur radio,,,,,
43467,UBAKUSATÊÊCÊ,1998-067NQ,,92.4,Unknown,,Amateur radio,,,,,
43467,UBAKUSAT,1998-067NQ,,92.4,Inactive,437.225,Amateur radio,,,,,
43466,1KUNS-PF,1998-067NP,,92.3,Active,,Amateur radio,,,,,
43199,SHAONIAN XING,2018-015H,,94.5,Active,436.37,Amateur radio,,,,,
43192,FENGMANIU 1 (FMN 1)ÊÊCÊ,2018-015A,,94.5,Active,435.35,Amateur radio,,,,,
43188,D-STAR ONE PHOENIXÊÊCÊ,2018-014J,,96.2,Inactive,435.525,Amateur radio,,,,,
43186,S-NET,2018-014G,,96.2,Active,,Amateur radio,,,,,
43158,QUANTUTONG 1ÊÊCÊ,2018-008D,,95.4,Inactive,,Amateur radio,,,,,
43155,XIAOXIANG 2 (TY-2)ÊÊCÊ,2018-008A,,95.3,Active,,Amateur radio,,,,,
43138,STEP CUBE LAB,2018-004AD,,94.5,Active,437.485,Amateur radio,,,,,
43137,FOX-1D (AO-92)ÊÊCÊ,2018-004A,,94.5,Active,145.88,Amateur radio,,,,,
43132,PICSATÊÊCÊ,2018-004X,,94.5,Inactive,,Amateur radio,,,,,
43116,INS-1C,2018-004F,,94.6,Active,,Amateur radio,,,,,
43027,OSIRIS-3U,1998-067NL,,91.1,Inactive,,Amateur radio,,,,,
43019,ECAMSAT,1998-067NG,,92.4,Active,,Amateur radio,,,,,
43018,EAGLESAT-1,2017-073F,,97.4,Inactive,,Amateur radio,,,,,
43017,FOX-1B (RADFXSAT AO-91)ÊÊCÊ,2017-073E,,97.4,Active,145.96,Amateur radio,,,,,
43016,MAKERSAT-0,2017-073D,,97.4,Unknown,,Amateur radio,,,,,
42983,SIMPLÊÊCÊ,1998-067NF,,92.5,Inactive,,Amateur radio,,,,,
42912,TANYUSHA 2,1998-067NB,,91.6,Inactive,145.8,Amateur radio,,,,,
42911,TANYUSHA 1,1998-067NA,,91.5,Inactive,145.8,Amateur radio,,,,,
